,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
304,"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition","['by ', 'Quan Nguyen']",$49.99,606 pages,4.3 out of 5 stars,12 ratings,['\n            \n              65%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              12%\n            \n          '],[],7.5 x 1.37 x 9.25 inches,2.26 pounds,English,"Packt Publishing; 2nd ed. edition (March 25, 2022)", 978-1801814010,/Advanced-Python-Programming-Accelerate-techniques/dp/1801814015/ref=sr_1_103?keywords=python&qid=1663459285&sr=8-103
305,Web Development with Django: Learn to build modern web applications with a Python-based framework,"['by ', 'Ben Shaw', ', ', 'Saurabh Badhwar', ', et al.']",$41.99,826 pages,4.5 out of 5 stars,65 ratings,['\n            \n              70%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],7.5 x 1.87 x 9.25 inches,3.07 pounds,English,"Packt Publishing (February 25, 2021)", 978-1839212505,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A01456273QIJT7B823GEW&url=%2FWeb-Development-Django-applications-Python-based%2Fdp%2F1839212500%2Fref%3Dsr_1_113_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-113-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_mtf
306,Python for Algorithmic Trading: From Idea to Cloud Deployment,"['by ', 'Yves Hilpisch']",$44.49,380 pages,4.3 out of 5 stars,94 ratings,['\n            \n              66%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 0.9 x 9.1 inches,1.35 pounds,English,"O'Reilly Media; 1st edition (December 8, 2020)", 978-1492053354,/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_101?keywords=python&qid=1663459285&sr=8-101
307,Clean Code: A Handbook of Agile Software Craftsmanship,[' '],$47.49,464 pages,4.7 out of 5 stars,"4,528 ratings",['\n            \n              81%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              2%\n            \n          '],7 x 1.1 x 9.2 inches,1.46 pounds,English,"Pearson; 1st edition (August 1, 2008)", 978-0132350884,/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882/ref=sr_1_104?keywords=python&qid=1663459285&sr=8-104
308,"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More","['by ', 'Julien Danjou']",$29.24,240 pages,4.7 out of 5 stars,329 ratings,['\n            \n              79%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              1%\n            \n          '],7.06 x 0.57 x 9.25 inches,1.15 pounds,English,"No Starch Press; Illustrated edition (December 27, 2018)", 978-1593278786,/Serious-Python-Black-Belt-Deployment-Scalability/dp/1593278780/ref=sr_1_105?keywords=python&qid=1663459285&sr=8-105
309,"Python Natural Language Processing Cookbook: Over 50 recipes to understand, analyze, and generate text for implementing language processing tasks","['by ', 'Zhenya Antić']",$37.99,284 pages,4.2 out of 5 stars,38 ratings,['\n            \n              61%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              7%\n            \n          '],7.5 x 0.64 x 9.25 inches,1.08 pounds,English,"Packt Publishing (March 19, 2021)", 978-1838987312,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03428652J2G1A70Z3K21&url=%2FPython-Natural-Language-Processing-Cookbook%2Fdp%2F1838987312%2Fref%3Dsr_1_115_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-115-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_mtf
310,Python: Programming Basics for Absolute Beginners,[' '],,103 pages,4.0 out of 5 stars,182 ratings,['\n            \n              54%\n            \n          '],['\n            \n              20%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              9%\n            \n          '],,,English,"Nathan Clark (April 2, 2018)",,/Python-Programming-Beginners-Step-Step-ebook/dp/B07BWT2MR5/ref=sr_1_102?keywords=python&qid=1663459285&sr=8-102
311,"Python Crash Course, 3rd Edition","['by ', 'Eric Matthes']",$40.49,552 pages,,,[],[],[],[],[],0.04 x 0.04 x 0.04 inches,13 ounces,English,"No Starch Press; 3rd edition (January 10, 2023)", 978-1718502703,/Python-Crash-Course-Eric-Matthes/dp/1718502702/ref=sr_1_78?keywords=python&qid=1663459274&sr=8-78
312,Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),"['by ', 'Maurice J. Thompson']",,,,,[],[],[],[],[],,,,,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A07038002SNXFZIXDJNFI&url=%2FPython-Manuscripts-Programming-Beginners-Intermediates%2Fdp%2F1980953902%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-97-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_atf_next
313,Python: Programming Basics for Absolute Beginners (Step-By-Step Python),"['by ', 'Nathan Clark']",,,,,[],[],[],[],[],,,,,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0478444PWVYWJ4US0HC&url=%2FPython-Programming-Beginners-Step-Step%2Fdp%2F1987518977%2Fref%3Dsr_1_75_sspa%3Fkeywords%3Dpython%26qid%3D1663459274%26sr%3D8-75-spons%26psc%3D1&qualifier=1663459274&id=4039912833702572&widgetName=sp_mtf
