,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
238,Apprentissage artificiel: Concepts et algorithmes - De Bayes et Hume au Deep Learning (French Edition),"['by ', 'Vincent Barra', ', ', 'Antoine Cornuéjols', ', et al.']",,990 pages,4.2 out of 5 stars,5 ratings,['\n            \n              74%\n            \n          '],['\n            \n              26%\n            \n          '],[],[],[],6.69 x 2.09 x 9.06 inches,3.52 pounds,French,"EYROLLES (March 25, 2021)",,/Apprentissage-artificiel-Concepts-algorithmes-Learning/dp/2416001043/ref=sr_1_222?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-222
239,Deep Learning Ecologies: An Invitation to Complex Teaching and Learning,"['by ', 'Leslie Patterson Ph.D.', ' and ', 'Royce Holladay M.Ed.']", $30.00 ,144 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],8.5 x 0.34 x 11 inches,1.06 pounds,English,"Human Systems Dynamics Press (September 8, 2017)",,/Deep-Learning-Ecologies-Invitation-Teaching/dp/0999420208/ref=sr_1_220?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-220
240,Deep Learning with Python: A Hands-On Guide for Beginners,[' '],,162 pages,3.3 out of 5 stars,9 ratings,['\n            \n              22%\n            \n          '],['\n            \n              33%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              17%\n            \n          '],,,English,,,/Deep-Learning-Python-Hands-Beginners-ebook/dp/B07S92F892/ref=sr_1_219?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-219
241,"Hands-On Deep Learning with R: A practical guide to designing, building, and improving neural network models using R","['by ', 'Michael Pawlus', ' and ', 'Rodger Devine']",,330 pages,4.3 out of 5 stars,7 ratings,['\n            \n              64%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              18%\n            \n          '],[],[],,,English,"Packt Publishing; 1st edition (April 24, 2020)",,/Hands-Deep-Learning-practical-designing-ebook/dp/B085XXHKTP/ref=sr_1_218?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-218
242,"AI Crash Course: A fun and hands-on introduction to machine learning, reinforcement learning, deep learning, and artificial intelligence with Python","['by ', 'Hadelin de Ponteves']",$29.99,360 pages,4.2 out of 5 stars,81 ratings,['\n            \n              57%\n            \n          '],['\n            \n              20%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              6%\n            \n          '],7.5 x 0.82 x 9.25 inches,1.36 pounds,English,"Packt Publishing (November 29, 2019)", 978-1838645359,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfYXRmX25leHQ6MjAwMDE5MTIzNjg0MzcxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FCrash-Course-hands-introduction-reinforcement%2Fdp%2F1838645357%2Fref%3Dsr_1_244_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-244-spons%26psc%3D1
243,Deep Learning In Biology And Medicine,"['by ', 'Davide Bacciu', ', ', 'Paulo J G Lisboa', ', et al.']",$97.65,332 pages,,,[],[],[],[],[],6 x 0.97 x 9 inches,1.35 pounds,English,"WSPC (EUROPE) (January 19, 2022)", 978-1800610934,/Learning-Biology-Medicine-Davide-Bacciu/dp/1800610939/ref=sr_1_217?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-217
244,Deep Learning,"['by ', 'M. A.  Melby']",,4 pages,,,[],[],[],[],[],,,English,,,/Deep-Learning-M-Melby-ebook/dp/B09DNY4PC4/ref=sr_1_216?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-216
245,Autonomous Robotics and Deep Learning (SpringerBriefs in Computer Science),[' '],$69.99,74 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],6.1 x 0.18 x 9.25 inches,2.86 pounds,English,"Springer; 2014th edition (April 25, 2014)", 978-3319056029,/Autonomous-Robotics-Learning-SpringerBriefs-Computer/dp/3319056026/ref=sr_1_215?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-215
246,"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web automation, and more, 2nd Edition","['by ', 'Maxim Lapan']",$54.99,826 pages,4.5 out of 5 stars,143 ratings,['\n            \n              75%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],7.5 x 1.87 x 9.25 inches,3.07 pounds,English,"Packt Publishing; 2nd edition (January 31, 2020)", 978-1838826994,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfYXRmX25leHQ6MjAwMDIwOTMwMTE0NTcxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FDeep-Reinforcement-Learning-Hands-optimization%2Fdp%2F1838826998%2Fref%3Dsr_1_242_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-242-spons%26psc%3D1
247,Hands-On Music Generation with Magenta: Explore the role of deep learning in music generation and assisted music composition,"['by ', 'Alexandre DuBreuil']",$41.99,360 pages,4.5 out of 5 stars,8 ratings,['\n            \n              47%\n            \n          '],['\n            \n              53%\n            \n          '],[],[],[],7.5 x 0.82 x 9.25 inches,1.36 pounds,English,"Packt Publishing (January 31, 2020)", 978-1838824419,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfYXRmX25leHQ6MjAwMDIwOTU1MjczODcxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FHands-Music-Generation-Magenta-composition%2Fdp%2F1838824413%2Fref%3Dsr_1_243_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-243-spons%26psc%3D1
